iter	Passed	Remaining
937	5527	365
938	5533	359
939	5539	353
940	5545	347
941	5551	341
942	5556	335
943	5563	330
944	5568	324
945	5573	318
946	5579	312
947	5585	306
948	5591	300
949	5596	294
950	5602	288
951	5608	282
952	5614	276
953	5622	271
954	5629	265
955	5634	259
956	5639	253
957	5645	247
958	5651	241
959	5657	235
960	5663	229
961	5669	223
962	5675	218
963	5680	212
964	5687	206
965	5692	200
966	5699	194
967	5704	188
968	5709	182
969	5715	176
970	5722	170
971	5727	164
972	5733	159
973	5738	153
974	5744	147
975	5749	141
976	5754	135
977	5760	129
978	5766	123
979	5771	117
980	5777	111
981	5782	106
982	5789	100
983	5794	94
984	5800	88
985	5805	82
986	5810	76
987	5816	70
988	5822	64
989	5827	58
990	5832	52
991	5838	47
992	5844	41
993	5849	35
994	5855	29
995	5861	23
996	5867	17
997	5873	11
998	5877	5
999	5883	0
